llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors,embedding,strategy,candidates
phi4,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.0279999999999999,1.0,0.12,0.88,0.0,25,3,0,0,3,3,3,3,3,3,0.7,22,0,nomic,term,k10
mistral,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.1666666666666666,0.0299145299145299,1.0,0.1666666666666666,0.8333333333333334,0.0,12,2,0,1,1,1,1,1,2,2,0.358974358974359,10,0,nomic,avg,k50
mixtral_8x7,0.0,0.0357142857142857,0.0714285714285714,0.1071428571428571,0.1785714285714285,0.1785714285714285,0.2142857142857142,0.2142857142857142,0.0326808608058608,0.6666666666666666,0.1428571428571428,0.7857142857142857,0.0714285714285714,28,4,0,1,2,3,5,5,6,6,0.9150641025641024,22,2,nomic,avg,k50
mixtral_8x22,0.0,0.032258064516129,0.064516129032258,0.1290322580645161,0.1612903225806451,0.1612903225806451,0.1935483870967742,0.1935483870967742,0.0310690653432588,0.6666666666666666,0.1290322580645161,0.8064516129032258,0.064516129032258,31,4,0,1,2,4,5,5,6,6,0.9631410256410255,25,2,nomic,avg,k50
llama,0.0,0.032258064516129,0.032258064516129,0.064516129032258,0.1290322580645161,0.1290322580645161,0.1612903225806451,0.1612903225806451,0.0214536807278742,0.8,0.1290322580645161,0.8387096774193549,0.032258064516129,31,4,0,1,1,2,4,4,5,5,0.6650641025641025,26,1,nomic,avg,k50
phi4,0.0,0.04,0.04,0.12,0.2,0.2,0.24,0.24,0.0316025641025641,0.5,0.12,0.76,0.12,25,3,0,1,1,3,5,5,6,6,0.7900641025641025,19,3,nomic,avg,k50
mistral,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.2862103174603174,0.4285714285714285,0.25,0.4166666666666667,0.3333333333333333,12,3,2,4,4,7,7,7,7,7,3.4345238095238093,5,4,sapbert,full,k20
mixtral_8x7,0.2142857142857142,0.4642857142857143,0.5357142857142857,0.6071428571428571,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.3490504535147392,0.2222222222222222,0.1428571428571428,0.3571428571428571,0.5,28,4,6,13,15,17,18,18,18,18,9.7734126984127,10,14,sapbert,full,k20
mixtral_8x22,0.2258064516129032,0.4516129032258064,0.5483870967741935,0.7419354838709677,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.3888760880696364,0.3333333333333333,0.2580645161290322,0.2258064516129032,0.5161290322580645,31,8,7,14,17,23,24,24,24,24,12.05515873015873,7,16,sapbert,full,k20
llama,0.3548387096774194,0.6129032258064516,0.7419354838709677,0.935483870967742,0.935483870967742,0.935483870967742,0.935483870967742,0.935483870967742,0.5313492063492062,0.5517241379310345,0.5161290322580645,0.064516129032258,0.4193548387096774,31,16,11,19,23,29,29,29,29,29,16.471825396825395,2,13,sapbert,full,k20
phi4,0.2,0.48,0.56,0.68,0.68,0.68,0.68,0.68,0.3553809523809523,0.2352941176470588,0.16,0.32,0.48,25,4,5,12,14,17,17,17,17,17,8.88452380952381,8,12,sapbert,full,k20
mistral,0.1666666666666666,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.3402777777777777,0.2857142857142857,0.1666666666666666,0.4166666666666667,0.4166666666666667,12,2,2,6,7,7,7,7,7,7,4.083333333333333,5,5,sapbert,avg,k10
mixtral_8x7,0.2857142857142857,0.5,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.408078231292517,0.2352941176470588,0.1428571428571428,0.3928571428571428,0.4642857142857143,28,4,8,14,16,17,17,17,17,17,11.426190476190476,11,13,sapbert,avg,k10
mixtral_8x22,0.3225806451612903,0.5806451612903226,0.7096774193548387,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.475268817204301,0.391304347826087,0.2903225806451613,0.2580645161290322,0.4516129032258064,31,9,10,18,22,23,23,23,23,23,14.733333333333333,8,14,sapbert,avg,k10
llama,0.4193548387096774,0.6774193548387096,0.7741935483870968,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.5763440860215054,0.5925925925925926,0.5161290322580645,0.1290322580645161,0.3548387096774194,31,16,13,21,24,27,27,27,27,27,17.866666666666667,4,11,sapbert,avg,k10
phi4,0.28,0.56,0.64,0.64,0.64,0.64,0.64,0.64,0.4313333333333332,0.375,0.24,0.36,0.36,25,6,7,14,16,16,16,16,16,16,10.783333333333331,9,9,sapbert,avg,k10
mistral,0.0833333333333333,0.1666666666666666,0.4166666666666667,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.1925757575757576,0.25,0.1666666666666666,0.3333333333333333,0.5,12,2,1,2,5,6,7,7,7,8,2.310909090909091,4,6,sapbert,term,k50
mixtral_8x7,0.3571428571428571,0.4285714285714285,0.5,0.5714285714285714,0.5714285714285714,0.6071428571428571,0.6428571428571429,0.6428571428571429,0.4108949829931973,0.2777777777777778,0.1785714285714285,0.3571428571428571,0.4642857142857143,28,5,10,12,14,16,16,17,18,18,11.505059523809525,10,13,sapbert,term,k50
mixtral_8x22,0.3870967741935484,0.4838709677419355,0.5483870967741935,0.5806451612903226,0.6774193548387096,0.6774193548387096,0.7096774193548387,0.7419354838709677,0.459520887909143,0.4347826086956521,0.3225806451612903,0.2580645161290322,0.4193548387096774,31,10,12,15,17,18,21,21,22,23,14.245147525183434,8,13,sapbert,term,k50
llama,0.4516129032258064,0.5806451612903226,0.6451612903225806,0.6774193548387096,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.935483870967742,0.5395559122195194,0.4827586206896552,0.4516129032258064,0.064516129032258,0.4838709677419355,31,14,14,18,20,21,26,26,26,29,16.7262332788051,2,15,sapbert,term,k50
phi4,0.36,0.44,0.52,0.64,0.68,0.68,0.68,0.76,0.426728427128427,0.3157894736842105,0.24,0.24,0.52,25,6,9,11,13,16,17,17,17,19,10.668210678210675,6,13,sapbert,term,k50
mistral,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.25,0.25,0.0254629629629629,0.0,0.0,0.75,0.25,12,0,0,0,1,1,1,1,3,3,0.3055555555555556,9,3,nomic,full,k50
mixtral_8x7,0.0357142857142857,0.0714285714285714,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1428571428571428,0.1428571428571428,0.0634920634920634,0.5,0.0714285714285714,0.8571428571428571,0.0714285714285714,28,2,1,2,3,3,3,3,4,4,1.7777777777777777,24,2,nomic,full,k50
mixtral_8x22,0.0,0.064516129032258,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0349462365591397,1.0,0.0967741935483871,0.9032258064516128,0.0,31,3,0,2,3,3,3,3,3,3,1.0833333333333333,28,0,nomic,full,k50
llama,0.0,0.032258064516129,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.0241935483870967,1.0,0.064516129032258,0.935483870967742,0.0,31,2,0,1,2,2,2,2,2,2,0.75,29,0,nomic,full,k50
phi4,0.0,0.08,0.12,0.12,0.12,0.12,0.12,0.12,0.0433333333333333,1.0,0.12,0.88,0.0,25,3,0,2,3,3,3,3,3,3,1.0833333333333333,22,0,nomic,full,k50
mistral,0.0,0.0,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0212962962962962,0.0,0.0,0.8333333333333334,0.1666666666666666,12,0,0,0,1,1,2,2,2,2,0.2555555555555555,10,2,nomic,term,k20
mixtral_8x7,0.0,0.0,0.1071428571428571,0.1071428571428571,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0269841269841269,0.75,0.1071428571428571,0.8571428571428571,0.0357142857142857,28,3,0,0,3,3,4,4,4,4,0.7555555555555555,24,1,nomic,term,k20
mixtral_8x22,0.032258064516129,0.032258064516129,0.0967741935483871,0.0967741935483871,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.0485663082437275,0.75,0.0967741935483871,0.8709677419354839,0.032258064516129,31,3,1,1,3,3,4,4,4,4,1.5055555555555555,27,1,nomic,term,k20
llama,0.032258064516129,0.032258064516129,0.1290322580645161,0.1290322580645161,0.1612903225806451,0.1612903225806451,0.1612903225806451,0.1612903225806451,0.0566308243727598,0.8,0.1290322580645161,0.8387096774193549,0.032258064516129,31,4,1,1,4,4,5,5,5,5,1.7555555555555555,26,1,nomic,term,k20
phi4,0.0,0.0,0.12,0.12,0.16,0.16,0.16,0.16,0.0302222222222222,0.75,0.12,0.84,0.04,25,3,0,0,3,3,4,4,4,4,0.7555555555555555,21,1,nomic,term,k20
mistral,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.2862103174603174,0.2857142857142857,0.1666666666666666,0.4166666666666667,0.4166666666666667,12,2,2,4,4,7,7,7,7,7,3.4345238095238093,5,5,sapbert,full,k10
mixtral_8x7,0.2142857142857142,0.4642857142857143,0.5357142857142857,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.3470663265306122,0.2352941176470588,0.1428571428571428,0.3928571428571428,0.4642857142857143,28,4,6,13,15,17,17,17,17,17,9.717857142857143,11,13,sapbert,full,k10
mixtral_8x22,0.2258064516129032,0.4516129032258064,0.5483870967741935,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.3870839733742959,0.391304347826087,0.2903225806451613,0.2580645161290322,0.4516129032258064,31,9,7,14,17,23,23,23,23,23,11.999603174603171,8,14,sapbert,full,k10
llama,0.3548387096774194,0.6129032258064516,0.7419354838709677,0.935483870967742,0.935483870967742,0.935483870967742,0.935483870967742,0.935483870967742,0.5313492063492062,0.4827586206896552,0.4516129032258064,0.064516129032258,0.4838709677419355,31,14,11,19,23,29,29,29,29,29,16.471825396825395,2,15,sapbert,full,k10
phi4,0.2,0.48,0.56,0.68,0.68,0.68,0.68,0.68,0.3553809523809523,0.3529411764705882,0.24,0.32,0.4,25,6,5,12,14,17,17,17,17,17,8.88452380952381,8,10,sapbert,full,k10
mistral,0.1666666666666666,0.5,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3462301587301588,0.25,0.1666666666666666,0.3333333333333333,0.5,12,2,2,6,7,7,8,8,8,8,4.154761904761905,4,6,sapbert,avg,k20
mixtral_8x7,0.2857142857142857,0.5,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.408078231292517,0.1764705882352941,0.1071428571428571,0.3928571428571428,0.4642857142857143,28,3,8,14,16,17,17,17,17,17,11.426190476190476,11,13,sapbert,avg,k20
mixtral_8x22,0.3225806451612903,0.5806451612903226,0.7096774193548387,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.475268817204301,0.3478260869565217,0.2580645161290322,0.2580645161290322,0.4838709677419355,31,8,10,18,22,23,23,23,23,23,14.733333333333333,8,15,sapbert,avg,k20
llama,0.4193548387096774,0.6774193548387096,0.7741935483870968,0.8709677419354839,0.9032258064516128,0.9032258064516128,0.9032258064516128,0.9032258064516128,0.5792766373411534,0.5714285714285714,0.5161290322580645,0.0967741935483871,0.3870967741935484,31,16,13,21,24,27,28,28,28,28,17.957575757575757,3,12,sapbert,avg,k20
phi4,0.28,0.56,0.64,0.64,0.72,0.72,0.72,0.72,0.4378268398268398,0.2777777777777778,0.2,0.28,0.48,25,5,7,14,16,16,18,18,18,18,10.945670995670994,7,12,sapbert,avg,k20
mistral,0.1666666666666666,0.5,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3462301587301588,0.25,0.1666666666666666,0.3333333333333333,0.5,12,2,2,6,7,7,8,8,8,8,4.154761904761905,4,6,sapbert,avg,k50
mixtral_8x7,0.2857142857142857,0.5,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.4097016079158936,0.2222222222222222,0.1428571428571428,0.3571428571428571,0.5,28,4,8,14,16,17,17,18,18,18,11.471645021645022,10,14,sapbert,avg,k50
mixtral_8x22,0.3225806451612903,0.5806451612903226,0.7096774193548387,0.7419354838709677,0.7419354838709677,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.4767350928641251,0.4583333333333333,0.3548387096774194,0.2258064516129032,0.4193548387096774,31,11,10,18,22,23,23,24,24,24,14.778787878787876,7,13,sapbert,avg,k50
llama,0.4193548387096774,0.6774193548387096,0.7741935483870968,0.8709677419354839,0.9032258064516128,0.9032258064516128,0.9032258064516128,0.9032258064516128,0.5792766373411534,0.5357142857142857,0.4838709677419355,0.0967741935483871,0.4193548387096774,31,15,13,21,24,27,28,28,28,28,17.957575757575757,3,13,sapbert,avg,k50
phi4,0.28,0.56,0.64,0.64,0.72,0.76,0.76,0.76,0.4396450216450216,0.2105263157894736,0.16,0.24,0.56,25,4,7,14,16,16,18,19,19,19,10.99112554112554,6,14,sapbert,avg,k50
mistral,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0277777777777777,1.0,0.0833333333333333,0.9166666666666666,0.0,12,1,0,1,1,1,1,1,1,1,0.3333333333333333,11,0,nomic,avg,k10
mixtral_8x7,0.0,0.0357142857142857,0.0714285714285714,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.0267857142857142,0.6666666666666666,0.0714285714285714,0.8928571428571429,0.0357142857142857,28,2,0,1,2,3,3,3,3,3,0.7499999999999999,25,1,nomic,avg,k10
mixtral_8x22,0.0,0.032258064516129,0.064516129032258,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.0282258064516129,0.75,0.0967741935483871,0.8709677419354839,0.032258064516129,31,3,0,1,2,4,4,4,4,4,0.8749999999999999,27,1,nomic,avg,k10
llama,0.0,0.032258064516129,0.032258064516129,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.0161290322580645,1.0,0.064516129032258,0.935483870967742,0.0,31,2,0,1,1,2,2,2,2,2,0.5,29,0,nomic,avg,k10
phi4,0.0,0.04,0.04,0.12,0.12,0.12,0.12,0.12,0.025,1.0,0.12,0.88,0.0,25,3,0,1,1,3,3,3,3,3,0.625,22,0,nomic,avg,k10
mistral,0.0,0.0,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.1666666666666666,0.25,0.25,0.0238215488215488,0.0,0.0,0.75,0.25,12,0,0,0,1,1,2,2,3,3,0.2858585858585858,9,3,nomic,term,k50
mixtral_8x7,0.0,0.0,0.1071428571428571,0.1071428571428571,0.1428571428571428,0.2857142857142857,0.3571428571428571,0.3928571428571428,0.0350753809682381,0.3636363636363636,0.1428571428571428,0.6071428571428571,0.25,28,4,0,0,3,3,4,8,10,11,0.9821106671106672,17,7,nomic,term,k50
mixtral_8x22,0.032258064516129,0.032258064516129,0.0967741935483871,0.0967741935483871,0.1290322580645161,0.2258064516129032,0.3225806451612903,0.3548387096774194,0.0559191009285885,0.3636363636363636,0.1290322580645161,0.6451612903225806,0.2258064516129032,31,4,1,1,3,3,4,7,10,11,1.7334921287862464,20,7,nomic,term,k50
llama,0.032258064516129,0.032258064516129,0.1290322580645161,0.1290322580645161,0.1612903225806451,0.1935483870967742,0.2258064516129032,0.2580645161290322,0.0596318018898664,0.625,0.1612903225806451,0.7419354838709677,0.0967741935483871,31,5,1,1,4,4,5,6,7,8,1.8485858585858583,23,3,nomic,term,k50
phi4,0.0,0.0,0.12,0.12,0.16,0.32,0.36,0.4,0.0383536907536907,0.4,0.16,0.6,0.24,25,4,0,0,3,3,4,8,9,10,0.9588422688422688,15,6,nomic,term,k50
mistral,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0208333333333333,1.0,0.0833333333333333,0.9166666666666666,0.0,12,1,0,0,1,1,1,1,1,1,0.25,11,0,nomic,full,k20
mixtral_8x7,0.0357142857142857,0.0714285714285714,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.0625,1.0,0.1071428571428571,0.8928571428571429,0.0,28,3,1,2,3,3,3,3,3,3,1.75,25,0,nomic,full,k20
mixtral_8x22,0.0,0.064516129032258,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0349462365591397,1.0,0.0967741935483871,0.9032258064516128,0.0,31,3,0,2,3,3,3,3,3,3,1.0833333333333333,28,0,nomic,full,k20
llama,0.0,0.032258064516129,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.0241935483870967,1.0,0.064516129032258,0.935483870967742,0.0,31,2,0,1,2,2,2,2,2,2,0.75,29,0,nomic,full,k20
phi4,0.0,0.08,0.12,0.12,0.12,0.12,0.12,0.12,0.0433333333333333,1.0,0.12,0.88,0.0,25,3,0,2,3,3,3,3,3,3,1.0833333333333333,22,0,nomic,full,k20
mistral,0.0833333333333333,0.1666666666666666,0.4166666666666667,0.5,0.5,0.5,0.5,0.5,0.1833333333333333,0.3333333333333333,0.1666666666666666,0.5,0.3333333333333333,12,2,1,2,5,6,6,6,6,6,2.2,6,4,sapbert,term,k10
mixtral_8x7,0.3571428571428571,0.4285714285714285,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.408078231292517,0.375,0.2142857142857142,0.4285714285714285,0.3214285714285714,28,6,10,12,14,16,16,16,16,16,11.426190476190476,12,9,sapbert,term,k10
mixtral_8x22,0.3870967741935484,0.4838709677419355,0.5483870967741935,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.4499999999999999,0.5,0.2903225806451613,0.4193548387096774,0.2903225806451613,31,9,12,15,17,18,18,18,18,18,13.95,13,9,sapbert,term,k10
llama,0.4516129032258064,0.5806451612903226,0.6451612903225806,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.5252688172043011,0.7619047619047619,0.5161290322580645,0.3225806451612903,0.1612903225806451,31,16,14,18,20,21,21,21,21,21,16.283333333333335,10,5,sapbert,term,k10
phi4,0.36,0.44,0.52,0.64,0.64,0.64,0.64,0.64,0.4214920634920635,0.4375,0.28,0.36,0.32,25,7,9,11,13,16,16,16,16,16,10.537301587301588,9,8,sapbert,term,k10
